100,19.66,22.45
200,12.95,15.13
300,9.88,12.7883333333
400,8.67,11.4533333333
500,7.19,10.5216666667
600,6.44,9.81666666667
700,5.93,9.22
800,5.24,8.78833333333
900,4.42,8.255
1000,4.1,8.205
1500,2.49,7.13666666667
2000,1.34,6.335
2500,0.74,6.02166666667
3000,0.36,5.8
3500,0.14,5.76833333333
4000,0.04,5.58333333333
4500,0.02,5.77166666667
5000,0.0,5.98666666667
5500,0.0,6.08833333333
6000,0.0,6.39166666667
6500,0.0,6.93166666667
7000,0.0,7.58833333333
8000,0.0,10.6716666667
9000,0.0,18.4883333333
10000,0.0,35.6416666667
